POSTNR	POSTSTAD	POSTNR- OG STAD	BRUKSOMRÅDE	FOLKETAL	BYDEL	KOMMNR	KOMMUNE	FYLKE	LAT	LON	DATAKVALITET	DATAKVALITETSFORKLARING	SIST OPPDATERT
1419	Oppegård	1419 OPPEGÅRD	Postboksar			217	Oppegård	Akershus	59.774	10.8032	1	Koordinatane gjeld postkontoret	0000-00-00 00:00:00
1420	Svartskog	1420 SVARTSKOG	Gate-/veg-adresse	427		217	Oppegård	Akershus	59.7818	10.7384	2	Koordinatane er retta av Erik Bolstad	2013-09-19 22:47:41
1421	Trollåsen	1421 TROLLÅSEN	Postboksar			217	Oppegård	Akershus	59.81730	10.77753	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:47
1429	Vinterbro	1429 VINTERBRO	Postboksar			214	Ås	Akershus	59.7397	10.7711	1	Koordinatane gjeld postkontoret	0000-00-00 00:00:00
1430	Ås	1430 ÅS	Gate-/veg-adresse	10255		214	Ås	Akershus	59.6602	10.7931	5	Koordinatane er retta av ein yr.no-brukar	2013-09-17 14:08:03
1431	Ås	1431 ÅS	Postboksar			214	Ås	Akershus	59.66220	10.79326	1	Koordinatane gjeld postkontoret	2011-10-11 09:57:12
1432	Ås	1432 ÅS	Postboksar	0		214	Ås	Akershus	59.6661	10.7663	5	Koordinatane er retta av ein yr.no-brukar	2012-09-28 19:49:49
1433	Ås	1433 ÅS	Gate-/veg-adresse			214	Ås	Akershus	59.6661	10.7663	6	Usikker plassering	2016-09-23 19:54:08
1434	Ås	1434 ÅS	Gate-/veg-adresse			214	Ås	Akershus	59.6661	10.7663	6	Usikker plassering	2016-09-23 19:54:09
1435	Ås	1435 ÅS	Gate-/veg-adresse			214	Ås	Akershus	59.6661	10.7663	6	Usikker plassering	2016-09-23 19:54:09
1440	Drøbak	1440 DRØBAK	Gate-/veg-adresse	12072		215	Frogn	Akershus	59.6634	10.6298	2	Koordinatane er retta av Erik Bolstad	2013-09-17 14:08:03
